Handle,Title,Body (HTML),Vendor,Type,Published,Variant SKU,Variant Price,Variant Barcode,Image Src,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Google Product Category,URL,Video URL,Status
cotton-rope-dog-bed,Cotton Rope Dog Bed,<p>A <strong>handmade</strong> cotton rope dog bed from the atelier.&nbsp;</p>,,Home,TRUE,FP-1028,24.00,,https://cdn.shopify.com/s/files/1/0900/0001/products/cotton-rope-dog-bed.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/cotton-rope-dog-bed,,active
glass-storage-jar-1l,Glass Storage Jar 1L,<p>A <strong>handmade</strong> glass storage jar 1l from the atelier.&nbsp;</p>,,Home,TRUE,FP-1029,24.00,,https://cdn.shopify.com/s/files/1/0900/0001/products/glass-storage-jar-1l.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/glass-storage-jar-1l,,active
linen-bread-bag,Linen Bread Bag,<p>A <strong>handmade</strong> linen bread bag from the atelier.&nbsp;</p>,,Home,TRUE,FP-1030,24.00,,https://cdn.shopify.com/s/files/1/0900/0001/products/linen-bread-bag.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/linen-bread-bag,,active
herb-garden-kit,Herb Garden Kit,<p>A <strong>handmade</strong> herb garden kit from the atelier.&nbsp;</p>,,Home,in stock,FP-1031,$32,8.900000000005E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/herb-garden-kit.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/herb-garden-kit,,active
stone-pestle-set,Stone Pestle Set,<p>A <strong>handmade</strong> stone pestle set from the atelier.&nbsp;</p>,,Home,in stock,FP-1032,$32,8.900000000012E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/stone-pestle-set.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/stone-pestle-set,,active
wool-dryer-balls,Wool Dryer Balls,<p>A <strong>handmade</strong> wool dryer balls from the atelier.&nbsp;</p>,,Home,in stock,FP-1033,$32,8.900000000029E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/wool-dryer-balls.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/wool-dryer-balls,,active
cotton-produce-bags,Cotton Produce Bags,<p>A <strong>handmade</strong> cotton produce bags from the atelier.&nbsp;</p>,,Home,in stock,FP-1034,$32,8.900000000036E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/cotton-produce-bags.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/cotton-produce-bags,,active
maple-cutting-board,Maple Cutting Board,<p>A <strong>handmade</strong> maple cutting board from the atelier.&nbsp;</p>,,Home,in stock,FP-1035,$32,8.900000000043E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/maple-cutting-board.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/maple-cutting-board,,active
blank-title-row,,<p>Untitled draft.</p>,,Home,TRUE,FP-1036,12.5,8.900000000005E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/blank-title-row.jpg,,new,Home & Garden,,,active
draft-seasonal-candle,Draft Seasonal Candle,<p>A <strong>handmade</strong> draft seasonal candle from the atelier.&nbsp;</p>,,Home,FALSE,FP-1037,12.5,8.900000000012E+12,,,new,Home & Garden,https://demo.feedpatch.shop/products/draft-seasonal-candle,,active
unpublished-planter,Unpublished Planter,<p>A <strong>handmade</strong> unpublished planter from the atelier.&nbsp;</p>,Harbor Goods,Home,FALSE,FP-1038,12.5,8.900000000029E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/unpublished-planter.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/unpublished-planter,,active
vimeo-demo-mixer,Vimeo Demo Mixer,<p>A <strong>handmade</strong> vimeo demo mixer from the atelier.&nbsp;</p>,Harbor Goods,Home,TRUE,FP-1039,12.5,8.900000000036E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/vimeo-demo-mixer.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/vimeo-demo-mixer,https://vimeo.com/123456789,active
cdn-video-kettle,CDN Video Kettle,<p>A <strong>handmade</strong> cdn video kettle from the atelier.&nbsp;</p>,Harbor Goods,Home,TRUE,FP-1040,12.5,8.900000000043E+12,https://cdn.shopify.com/s/files/1/0900/0001/products/cdn-video-kettle.jpg,,new,Home & Garden,https://demo.feedpatch.shop/products/cdn-video-kettle,https://cdn.shopify.com/videos/kettle-demo.mp4,active
